20170702 183700;1.142370;1.142370;1.142280;1.142330;0
20170702 183800;1.142320;1.142340;1.142320;1.142340;0
20170702 183900;1.142350;1.142400;1.142340;1.142400;0
20170702 184000;1.142390;1.142400;1.142390;1.142400;0
20170702 184100;1.142390;1.142390;1.142370;1.142370;0
20170702 184200;1.142370;1.142390;1.142320;1.142320;0
20170702 184300;1.142320;1.142320;1.142280;1.142280;0
20170702 184400;1.142290;1.142290;1.142280;1.142290;0
20170702 184500;1.142280;1.142300;1.142280;1.142300;0
20170702 184600;1.142290;1.142300;1.142240;1.142240;0
20170702 184700;1.142230;1.142250;1.142210;1.142250;0
20170702 184800;1.142230;1.142240;1.142220;1.142230;0
20170702 184900;1.142210;1.142240;1.142210;1.142240;0
20170702 185000;1.142240;1.142250;1.142210;1.142250;0
20170702 185100;1.142260;1.142260;1.142250;1.142250;0
20170702 185200;1.142250;1.142270;1.142240;1.142260;0
20170702 185300;1.142270;1.142300;1.142270;1.142300;0
20170702 185400;1.142310;1.142330;1.142310;1.142330;0
20170702 185500;1.142380;1.142410;1.142360;1.142410;0
20170702 185600;1.142410;1.142420;1.142410;1.142410;0
20170702 185700;1.142400;1.142470;1.142400;1.142470;0
20170702 185800;1.142530;1.142560;1.142490;1.142530;0
20170702 185900;1.142560;1.142560;1.142480;1.142490;0
20170702 190000;1.142470;1.142470;1.142230;1.142230;0
20170702 190100;1.142210;1.142360;1.142200;1.142330;0
20170702 190200;1.142330;1.142330;1.142180;1.142200;0
20170702 190300;1.142190;1.142210;1.142190;1.142200;0
20170702 190400;1.142220;1.142310;1.142210;1.142310;0
20170702 190500;1.142310;1.142440;1.142300;1.142340;0
20170702 190600;1.142360;1.142370;1.142360;1.142370;0
20170702 190700;1.142380;1.142420;1.142370;1.142420;0
20170702 190800;1.142420;1.142420;1.142290;1.142340;0
20170702 190900;1.142340;1.142380;1.142330;1.142380;0
20170702 191000;1.142380;1.142430;1.142340;1.142380;0
20170702 191100;1.142430;1.142430;1.142430;1.142430;0
20170702 191200;1.142400;1.142440;1.142400;1.142440;0
20170702 191300;1.142430;1.142530;1.142430;1.142530;0
20170702 191400;1.142540;1.142570;1.142460;1.142460;0
20170702 191500;1.142440;1.142440;1.142340;1.142340;0
20170702 191600;1.142340;1.142350;1.142310;1.142350;0
20170702 191700;1.142350;1.142530;1.142350;1.142470;0
20170702 191800;1.142460;1.142470;1.142430;1.142430;0
20170702 191900;1.142420;1.142430;1.142420;1.142420;0
20170702 192000;1.142430;1.142430;1.142430;1.142430;0
20170702 192100;1.142400;1.142410;1.142390;1.142410;0
20170702 192200;1.142390;1.142430;1.142390;1.142430;0
20170702 192300;1.142420;1.142420;1.142300;1.142310;0
20170702 192400;1.142300;1.142370;1.142280;1.142310;0
20170702 192500;1.142290;1.142290;1.142220;1.142220;0
20170702 192600;1.142220;1.142220;1.142190;1.142190;0
20170702 192700;1.142170;1.142200;1.142140;1.142200;0
20170702 192800;1.142230;1.142270;1.142130;1.142130;0
20170702 192900;1.142120;1.142130;1.142120;1.142130;0
20170702 193000;1.142120;1.142210;1.142110;1.142210;0
20170702 193100;1.142220;1.142230;1.142220;1.142230;0
20170702 193200;1.142220;1.142220;1.142180;1.142180;0
20170702 193300;1.142180;1.142230;1.142180;1.142180;0
20170702 193400;1.142180;1.142210;1.142110;1.142110;0
20170702 193500;1.142100;1.142150;1.142100;1.142150;0
20170702 193600;1.142150;1.142160;1.142150;1.142150;0
20170702 193700;1.142160;1.142250;1.142160;1.142190;0
20170702 193800;1.142200;1.142220;1.142140;1.142160;0
20170702 193900;1.142180;1.142200;1.142130;1.142200;0
20170702 194000;1.142200;1.142200;1.142150;1.142150;0
20170702 194100;1.142170;1.142170;1.142160;1.142160;0
20170702 194200;1.142150;1.142180;1.142150;1.142180;0
20170702 194300;1.142200;1.142200;1.142180;1.142200;0
20170702 194400;1.142200;1.142210;1.142200;1.142200;0
20170702 194500;1.142200;1.142210;1.142200;1.142200;0
20170702 194600;1.142190;1.142210;1.142190;1.142210;0
20170702 194700;1.142190;1.142200;1.142190;1.142200;0
20170702 194800;1.142210;1.142210;1.142200;1.142200;0
20170702 194900;1.142210;1.142210;1.142190;1.142210;0
20170702 195000;1.142210;1.142210;1.142200;1.142200;0
20170702 195200;1.142200;1.142200;1.142190;1.142190;0
20170702 195300;1.142190;1.142200;1.142150;1.142200;0
20170702 195400;1.142200;1.142250;1.142160;1.142170;0
20170702 195500;1.142190;1.142240;1.142190;1.142230;0
20170702 195600;1.142240;1.142260;1.142220;1.142260;0
20170702 195700;1.142230;1.142260;1.142210;1.142260;0
20170702 195800;1.142230;1.142250;1.142190;1.142190;0
20170702 195900;1.142170;1.142310;1.142170;1.142310;0
20170702 200000;1.142330;1.142420;1.142230;1.142420;0
20170702 200100;1.142440;1.142470;1.142080;1.142090;0
20170702 200200;1.142100;1.142170;1.142070;1.142100;0
20170702 200300;1.142080;1.142310;1.142070;1.142210;0
20170702 200400;1.142210;1.142210;1.142100;1.142120;0
20170702 200500;1.142100;1.142100;1.141940;1.141940;0
20170702 200600;1.141950;1.142040;1.141930;1.142030;0
20170702 200700;1.142020;1.142060;1.141980;1.142060;0
20170702 200800;1.142100;1.142120;1.142060;1.142080;0
20170702 200900;1.142080;1.142110;1.142080;1.142080;0
20170702 201000;1.142090;1.142110;1.142040;1.142050;0
20170702 201100;1.142040;1.142090;1.142040;1.142090;0
20170702 201200;1.142090;1.142110;1.142080;1.142080;0
20170702 201300;1.142090;1.142090;1.142080;1.142080;0
20170702 201400;1.142100;1.142170;1.142100;1.142170;0
20170702 201500;1.142190;1.142200;1.142100;1.142100;0
20170702 201600;1.142080;1.142110;1.142030;1.142110;0
20170702 201700;1.142110;1.142160;1.142070;1.142110;0
20170702 201800;1.142110;1.142110;1.141970;1.141970;0
20170702 201900;1.141950;1.141950;1.141890;1.141910;0
20170702 202000;1.141920;1.141960;1.141900;1.141900;0
20170702 202100;1.141910;1.141910;1.141900;1.141900;0
20170702 202200;1.141930;1.141930;1.141870;1.141880;0
20170702 202300;1.141880;1.141880;1.141880;1.141880;0
20170702 202400;1.141880;1.141880;1.141870;1.141880;0
20170702 202500;1.141870;1.141880;1.141820;1.141870;0
20170702 202600;1.141890;1.141980;1.141890;1.141970;0
20170702 202700;1.141930;1.141930;1.141930;1.141930;0
20170702 202800;1.141950;1.142020;1.141950;1.142020;0
20170702 202900;1.141980;1.142000;1.141970;1.141970;0
20170702 203000;1.141930;1.141960;1.141880;1.141960;0
20170702 203100;1.141960;1.141960;1.141880;1.141880;0
20170702 203200;1.141880;1.141960;1.141830;1.141920;0
20170702 203300;1.141910;1.141920;1.141870;1.141920;0
20170702 203400;1.141920;1.141990;1.141920;1.141970;0
20170702 203500;1.141960;1.141960;1.141810;1.141860;0
20170702 203600;1.141850;1.142020;1.141760;1.142020;0
20170702 203700;1.142010;1.142010;1.141860;1.141970;0
20170702 203800;1.141960;1.141970;1.141840;1.141840;0
20170702 203900;1.141850;1.141910;1.141830;1.141830;0
20170702 204000;1.141820;1.141880;1.141820;1.141870;0
20170702 204100;1.141860;1.141860;1.141860;1.141860;0
20170702 204200;1.141830;1.141830;1.141770;1.141820;0
20170702 204300;1.141790;1.141800;1.141700;1.141720;0
