20170703 020100;12396.250000;12401.750000;12393.750000;12397.750000;0
20170703 020200;12397.000000;12402.750000;12397.000000;12400.750000;0
20170703 020300;12400.500000;12400.750000;12398.750000;12399.000000;0
20170703 020400;12398.750000;12398.750000;12393.000000;12393.750000;0
20170703 020500;12394.250000;12395.500000;12390.750000;12392.250000;0
20170703 020600;12392.000000;12394.750000;12391.750000;12394.500000;0
20170703 020700;12394.250000;12397.750000;12394.250000;12397.750000;0
20170703 020800;12397.250000;12399.500000;12396.750000;12399.500000;0
20170703 020900;12399.750000;12402.000000;12399.250000;12401.000000;0
20170703 021000;12401.250000;12405.750000;12401.250000;12402.750000;0
20170703 021100;12403.000000;12403.750000;12399.500000;12403.250000;0
20170703 021200;12403.750000;12404.500000;12398.500000;12403.250000;0
20170703 021300;12403.000000;12403.000000;12398.250000;12401.750000;0
20170703 021400;12402.000000;12402.500000;12398.750000;12400.000000;0
20170703 021500;12399.750000;12400.750000;12399.750000;12399.750000;0
20170703 021600;12400.250000;12403.500000;12399.750000;12403.500000;0
20170703 021700;12403.000000;12403.250000;12399.750000;12400.750000;0
20170703 021800;12401.000000;12403.000000;12400.750000;12402.750000;0
20170703 021900;12402.500000;12402.500000;12396.250000;12400.250000;0
20170703 022000;12400.500000;12400.500000;12398.250000;12399.500000;0
20170703 022100;12400.000000;12407.750000;12399.000000;12400.250000;0
20170703 022200;12400.000000;12403.250000;12399.000000;12403.000000;0
20170703 022300;12403.250000;12403.500000;12399.500000;12401.500000;0
20170703 022400;12400.250000;12401.500000;12399.500000;12400.500000;0
20170703 022500;12400.250000;12402.500000;12399.750000;12402.250000;0
20170703 022600;12401.750000;12405.250000;12401.750000;12404.500000;0
20170703 022700;12404.750000;12406.750000;12404.750000;12405.000000;0
20170703 022800;12404.500000;12409.000000;12404.500000;12407.000000;0
20170703 022900;12407.250000;12407.250000;12399.750000;12400.750000;0
20170703 023000;12401.000000;12406.750000;12400.000000;12405.750000;0
20170703 023100;12405.250000;12405.250000;12403.500000;12403.500000;0
20170703 023200;12403.250000;12403.250000;12402.500000;12403.250000;0
20170703 023300;12403.500000;12403.500000;12402.500000;12402.500000;0
20170703 023400;12402.750000;12402.750000;12398.000000;12400.250000;0
20170703 023500;12399.750000;12401.250000;12399.750000;12401.250000;0
20170703 023600;12401.000000;12401.750000;12401.000000;12401.250000;0
20170703 023700;12401.750000;12401.750000;12401.000000;12401.000000;0
20170703 023800;12400.500000;12400.500000;12398.500000;12399.000000;0
20170703 023900;12398.750000;12399.000000;12395.000000;12397.500000;0
20170703 024000;12397.250000;12398.000000;12396.500000;12396.750000;0
20170703 024100;12397.750000;12397.750000;12395.500000;12395.500000;0
20170703 024200;12395.750000;12398.000000;12395.250000;12398.000000;0
20170703 024300;12398.250000;12399.000000;12396.500000;12396.500000;0
20170703 024400;12396.250000;12398.250000;12396.000000;12398.250000;0
20170703 024500;12398.000000;12398.250000;12396.000000;12396.500000;0
20170703 024600;12396.750000;12397.750000;12396.000000;12397.250000;0
20170703 024700;12397.000000;12397.000000;12395.750000;12396.000000;0
20170703 024800;12395.750000;12395.750000;12389.250000;12394.500000;0
20170703 024900;12394.250000;12394.250000;12391.500000;12391.750000;0
20170703 025000;12392.000000;12394.000000;12391.000000;12391.250000;0
20170703 025100;12391.000000;12391.250000;12387.500000;12390.250000;0
20170703 025200;12388.750000;12389.250000;12386.500000;12387.750000;0
20170703 025300;12387.250000;12388.250000;12387.000000;12387.000000;0
20170703 025400;12387.250000;12389.750000;12385.000000;12387.750000;0
20170703 025500;12387.500000;12387.500000;12383.750000;12386.750000;0
20170703 025600;12386.500000;12386.750000;12381.750000;12381.750000;0
20170703 025700;12381.500000;12385.750000;12381.250000;12385.750000;0
20170703 025800;12386.000000;12388.750000;12381.500000;12383.750000;0
20170703 025900;12383.500000;12385.750000;12382.250000;12383.750000;0
20170703 030000;12380.750000;12385.250000;12376.750000;12385.250000;0
20170703 030100;12385.750000;12388.750000;12384.500000;12385.250000;0
20170703 030200;12385.000000;12392.000000;12381.000000;12391.750000;0
20170703 030300;12391.250000;12395.500000;12388.750000;12395.500000;0
20170703 030400;12395.250000;12395.500000;12387.500000;12390.000000;0
20170703 030500;12389.750000;12393.750000;12388.750000;12390.000000;0
20170703 030600;12389.000000;12393.750000;12385.250000;12386.500000;0
20170703 030700;12385.750000;12393.500000;12385.750000;12390.250000;0
20170703 030800;12389.500000;12397.500000;12389.500000;12397.500000;0
20170703 030900;12397.250000;12401.250000;12394.250000;12398.750000;0
20170703 031000;12398.500000;12399.000000;12395.250000;12397.250000;0
20170703 031100;12396.750000;12398.500000;12394.500000;12398.500000;0
20170703 031200;12398.250000;12399.250000;12395.750000;12395.750000;0
20170703 031300;12396.000000;12397.750000;12394.000000;12397.250000;0
20170703 031400;12396.750000;12397.000000;12392.750000;12392.750000;0
20170703 031500;12392.500000;12392.750000;12386.250000;12391.250000;0
20170703 031600;12391.500000;12395.250000;12390.750000;12393.750000;0
20170703 031700;12394.250000;12397.500000;12393.000000;12394.250000;0
20170703 031800;12394.500000;12395.750000;12391.500000;12394.250000;0
20170703 031900;12394.000000;12397.250000;12393.250000;12393.250000;0
20170703 032000;12393.500000;12395.750000;12389.000000;12389.750000;0
20170703 032100;12389.500000;12391.250000;12386.750000;12389.000000;0
20170703 032200;12388.750000;12388.750000;12381.000000;12384.750000;0
20170703 032300;12385.000000;12386.500000;12384.500000;12385.500000;0
20170703 032400;12384.750000;12388.250000;12383.250000;12387.000000;0
